FID,MAP,REFNAME,PARKNAME,LOCATION,OBSERVER,FIELDDATE,APPROVDATE,MANAGER,CS,PS,PS_HIGH,PS_LOW,CU,CU_ACTUAL,PU,PU_HIGH,PU_LOW,TH_RANK_CS,TH_RANK_PS,PROB_FLAG,TRL_ENTPT,TRL_SIGN,PARKING,PKG_AUTO,PKG_BUS,PKG_HORSE,PKG_HANDIC,PKG_TYPE,PKG_SUBSTR,RESTROOM,RSTRM_TYPE,RANGER_STA,INFO_KIOSK,WAY_EXH,WATER,PHONE,GARBAGE,RECYC_BINS,MUTTMITT,SCEN_OVRLK,PICNIC,CAMP_REG,CAMP_GRP,CAMP_BCK,COMMENTS,COASTALZN,LVMCOG_TH,lat,lng,SMMTC_TH,DOGS,COUNTY,JURISDN
17,61,Busch Trailhead,Zuma and Trancas Canyons,Busch ^ Zuma Ridge Motorway,Jim Anderson,4/25/2001,mb01/01/04,NPS,OP,OP,OP,OP,MU,MU,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,15,0,0,0,parking lot,dirt,No,NA,No,Yes,No,No,No,Yes,Proposed,XX,No,No,No,No,No,Gate access to Zuma Ridge Trail. No gate to Zuma Access Trail.,in,1,34.03377994,-118.8180303,0,Y,LOS ANGELES,Malibu
18,63,Solstice Canyon - outer parking lot,Solstice Canyon,Solstice Cyn Gate ^ Corral Canyon Rd,MB,12/27/2001,mb01/01/04,NPS,OP,OP,OP,OP,MU,HO,MU,,,Tertiary,Tertiary,,Yes,Yes,Yes,7,0,0,0,parking lot,paved,No,NA,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,MB 12/02/09,in,0,34.0349482,-118.7445096,0,Y,LOS ANGELES,Malibu
19,61,Caltrans Pullout ^ Kanan Rd,,Caltrans Pullout ^ Kanan Rd,MB,,mb12/30/03,,UP,EC,EC,EC,UN,,NA,,,Unauthorized,NA,Yes,Yes,No,Yes,888,888,888,888,pullout,dirt,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Is this TH needed?,Outside,0,34.03438458,-118.7999618,0,,LOS ANGELES,Malibu
20,63,CST - Latigo Canyon Rd,,Latigo Canyon Rd ^ Coastal Slope Trail,Jessica/Jill,3/7/2003,mb12/30/03 entered by NK  09/10/,,UX,EM,EM,EM,UN,HE,,,,NA,Tertiary,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Very unofficial.  Looks like blocked off fire road.  mb:  Propose as CST trailhead.  Would require agency purchase of property that was burned out and has slid in past.,In,0,34.03512717,-118.7625616,0,,LOS ANGELES,Malibu
21,87,Topanga SB -- Beach parking lot,Topanga State Beach,PCH ^ Sunset,MB - in office,6/3/2001,mb06/03/01,CDPR,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.03822019,-118.5552616,0,,LOS ANGELES,Los Angeles
22,14,Puerco Cyn Fire Rd,,Puerco Cyn Fire Rd,MB,,mb01/01/04 mb12/17/02,,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"In-hse review.  Used to be parking at end of Puerco Cyn Rd.  May not be now, and trail may be blocked by guard station for Terminator producer's property (James Cameron).  Public would probably like to see this unofficial access via a fire rd, up to Mesa",Coastal,0,34.03668448,-118.7225902,0,,LOS ANGELES,Malibu
23,63,CST - LADWP Property,,LADWP Property ^ Corral Cyn Rd,MB/EE,6/16/2000,mb01/05/04,,PP,PP,PP,PP,NA,NA,EQ,,,NA,Tertiary,,No,No,Proposed,0,0,99,0,parking lot,dirt,No,NA,No,Proposed,No,Maybe,XX,Proposed,Proposed,XX,No,No,No,No,No,Possible equestrian parking site to supplement two spaces in Solstice inner lot.,in,0,34.03651019,-118.73784,0,,LOS ANGELES,Malibu
24,65,PCH/Budwood Motorway Trailhead,,PCH ^ Budwood,,,mb01/02/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.03955255,-118.5998758,0,,LOS ANGELES,Malibu
25,27,CST - Lower Topanga Trailhead,Topanga State Park,Topanga Cyn Blvd ^ PCH,MB DS,,mb01/02/04,CDPR,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,No,No,Yes,30,0,0,1,parking lot,gravel,Yes,chemical,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"New TH may be considered in Topanga Lagoon restoration.  TH would serve Coastal Slope Trail, Tuna Canyon complex, Topanga SP, California Coastal Trail.",Coastal,0,34.04010462,-118.5799421,0,,LOS ANGELES,Unincorp LA
26,63,Solstice Canyon Trailhead - inner lot,Solstice Canyon,Corral Canyon Rd ^ Solstice Canyon Rd - inner lot,MB/EE,6/16/2000,mb01/01/04,NPS,OP,OP,OP,OP,MU,HE,MU,,,Primary,Primary,,Yes,Yes,Yes,30,1,0,2,parking lot,paved,Yes,composting,No,Yes,No,Yes,No,Yes,Yes,Proposed,No,Yes,No,No,No,"MB 12/02/09:  Auto parking includes 27 paved and marked spots, plus approx. 3 in the DG unused horse pkg area.  2 handicapped spots.",in,1,34.03795839,-118.7470031,0,Y,LOS ANGELES,Malibu
27,65,Malibu/Big Rock Dr,,Big Rock ^ Inland,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails,Outside,0,34.03981124,-118.6119974,0,,LOS ANGELES,Malibu
28,65,Budwood Motorway,,Budwood Motorway,,,mb01/02/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.04043135,-118.6009464,0,,LOS ANGELES,Malibu
29,61,Edison Rd/Cyn View Trailhead,,Edison ^ Canyon View Trail,Jessica/Jill,3/13/2003,mb12/30/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,in,0,34.0386671,-118.8032728,0,,LOS ANGELES,Malibu
30,65,Jones Rd,,Jones Road,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails.,Outside,0,34.04139682,-118.6124563,0,,LOS ANGELES,Malibu
31,62,Malibu/Harbor Vista Dr,,Harbor Vista Drive,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.04135906,-118.6896125,0,,LOS ANGELES,Malibu
32,64,DeButts Terrace & Murphy Motorway,,De Butts Terrace & Murphy Motorway,Jessica/Jill,3/13/2003,entered by NK  09/10/03,,UX,UX,UX,UX,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Fire road access,In,0,34.04037114,-118.7876891,0,,LOS ANGELES,Unincorp LA
33,65,Malibu/Jones Rd,,Jones Road,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails,Outside,0,34.0427626,-118.6172898,0,,LOS ANGELES,Malibu
34,59,PCH,,Pacific Coast Highway,MB/EE,6/8/2000,6/8/2000,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.03934468,-118.8693316,0,,LOS ANGELES,Malibu
35,65,Malibu/Cool Oak Wy and Big Roc,,Big Rock ^ Cool oak,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails,Outside,0,34.04330729,-118.6233409,0,,LOS ANGELES,Malibu
36,62,Malibu/Cross Creek Rd & Fines,,Cross Creek ^ Fines,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.04268259,-118.6845056,0,,LOS ANGELES,Malibu
37,34,Malibu/Huntsinger Cir,,Huntsinger Circle,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.04238964,-118.7136863,0,,LOS ANGELES,Unincorp LA
38,62,Sweetwater Mesa Rd,,Serra Road,MB,,mb12/17/02,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.043523,-118.6753038,0,,LOS ANGELES,Malibu
39,63,Sequit Dr ^ Dry Creek Trail,Solstice Canyon,Sequit Dr ^ Dry Creek Trail,MB/EE,6/16/2000,mb10/31/00,Private,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,can not drive to access point; no trespassing posted 50 ft past ped. & equest. trail sign.  Neighborhood access.,In,0,34.04282062,-118.7402902,0,,LOS ANGELES,Unincorp LA
40,66,Lower Topanga Trailhead,Topanga State Park,Topanga Canyon Blvd ^ PCH,MB,99/99/99,mb12/22/11,CDPR,OP,OP,OP,OP,HO,HO,MU,,,Tertiary,Primary,,Yes,No,Yes,30,0,0,1,parking lot,gravel,Yes,chemical,No,No,No,No,XX,XX,XX,No,No,Yes,No,No,No,mb notes info from dale skinner at state parks. 07/01/2010,In,0,34.03980361,-118.5823988,0,,LOS ANGELES,Unincorp LA
41,65,Malibu/Whitecap Way,,Whitecap Way,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails.,Outside,0,34.04456446,-118.6182712,0,,LOS ANGELES,Malibu
42,97,Malibu/Sumac Ridge Dr,,Sumac Ridge Drive,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.04450046,-118.6448296,0,,LOS ANGELES,Malibu
43,66,Tuna Cyn Rd,,Tuna Canyon Road,Jessica/Jill,4/7/2003,mb01/02/04 entered by NK 09/03/0,,UP,EM,EM,EM,,,,,,Unauthorized,Tertiary,,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb edits - may be xing point for CST over Tuna Cyn Rd.,Outside,0,34.04547127,-118.589728,0,,LOS ANGELES,Malibu
44,9,DeButts Terrace,,DeButts Terrace,MB,,mb12/30/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,In,0,34.04278487,-118.7895948,0,,LOS ANGELES,Unincorp LA
45,26,Big Rock Dr,,Big Rock Road,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"Gated access to Big Rock Motorway.  LA Co Fire Dept posted No Trespassing signs ""Forestry Research Area"".  mb - Probably being used by neighborhood.  ignore, close, SUP?",Coastal,0,34.04600167,-118.6253585,0,,LOS ANGELES,Unincorp LA
46,87,Topanga SP -- Los Liones Dr,Topanga State Park,Los Liones Drive,MB/EE,8/4/2000,mb01/02/04 mb10/31/00,CDPR,OP,OP,OP,OP,HO,HO,,,,Secondary,Secondary,,Yes,Yes,Yes,34,888,0,1,parking lot,paved,Yes,flush,No,Yes,Yes,Yes,No,Yes,XX,XX,No,Yes,No,No,No,Proposed eastern terminus of CST.  10/7/09 MB - 3 parking lots.  10 spaces by actual trailhead.  Drinking fountain.,Outside,2,34.04744373,-118.5600058,0,N,LOS ANGELES,Los Angeles
47,14,Coralglen Dr ^ Sequit Dr,Solstice Canyon,Coralglen Dr ^ Sequit Dr,MB/EE,6/16/2000,mb06/22/00,Private,DL,DL,DL,DL,NA,HE,,,,Tertiary,Tertiary,Yes,Yes,Yes,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,"ped & eq trail posted on street sign. UP, but probably one of few Official non-parkland entrances, owing to signage on private property inviting use.  11/26/08 - Access to Solstice cut off.  10/15/09 MB - trail sign gone, El Nido Trail closed.",Coastal,0,34.04582617,-118.7418758,0,,LOS ANGELES,Unincorp LA
48,59,Encinal Cyn Rd,,Encinal Canyon Road,MB/EE,6/8/2000,6/8/2000,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Outside,0,34.04387108,-118.875861,0,,LOS ANGELES,Malibu
49,26,Budwood Motorway,,Budwood Motorway,,,,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.04779459,-118.6102362,0,,LOS ANGELES,Unincorp LA
50,58,Malibu Riding & Tennis Club Trails,Malibu Riding & Tennis Club,PCH ^ Nicholas Ridge Mtwy,MB/EE,6/8/2000,6/8/2000,MRT,UX,EM,EM,EM,,,,,,Tertiary,Secondary,,Yes,No,Yes,888,888,0,888,XX,XX,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"equestrian facility, parking uncertain, restrooms uncertain",Outside,0,34.04377702,-118.9089344,0,,LOS ANGELES,Malibu
51,14,Corral Canyon ^ Coastal Slope Trail,,Corral Canyon ^ Coastal Slope Trail,EE,6/14/2000,mb10/31/00,Private,UX,UX,UX,UX,,,,,,NA,NA,,Yes,No,Yes,2,0,0,0,pullout,dirt,No,NA,No,No,No,No,No,XX,XX,XX,No,No,No,No,No,"Proposed alignment for Coastal Slope Tr, on LACMTP & Missing Links",Coastal,0,34.04667645,-118.7390763,0,,LOS ANGELES,Unincorp LA
52,9,Malibu Vista/Escondido Dr,,Escondido Drive,Jessica/Jill,3/13/2003,mb12/30/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Private.  Did not see denoted trail.,Coastal,0,34.04666857,-118.7784395,0,,LOS ANGELES,Unincorp LA
53,27,Yes,,Tuna Canyon Road,,,mb01/02/04,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.04923014,-118.5959288,0,,LOS ANGELES,Unincorp LA
54,26,Big Rock Dr,,Big Rock Road,Jessica/Jill,3/14/2003,entered by NK 09/03/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Residential roads - not trails.,Coastal,0,34.04897032,-118.6236815,0,,LOS ANGELES,Unincorp LA
55,58,PCH,,Pacific Coast Highway,MB/EE,6/8/2000,6/8/2000,Private,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,private driveway,Outside,0,34.04508414,-118.9166401,0,,LOS ANGELES,Malibu
56,6,Zuma/Trancas Canyons -- Zuma Ridge Mtwy/Chumash Indian,Zuma/Trancas Canyons,Zuma Ridge ^ Chumash Indian Trail,MB,,mb12/30/03,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,Coastal,0,34.04668601,-118.8286018,0,,LOS ANGELES,Unincorp LA
57,85,Topanga State Park/W Sunset Bl,Topanga State Park,West Sunset ^ Will Rogers SP,MB - in office,6/3/2001,mb06/03/01,CDPR,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,,Yes,Maybe,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"Not field-checked, but I'm unaware of any facilities or parking along Sunset Bl. at this location.",Outside,0,34.05119604,-118.5110277,0,,LOS ANGELES,Los Angeles
58,87,Paseo Miramar,Topanga SP,Paseo Miramar,MB,10/26/2000,mb10/31/00,,UP,UP,UP,UP,,,,,,Unauthorized,Unauthorized,Yes,Yes,Yes,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,XX,XX,XX,XX,No,No,No,XX,"very narrow & constrained street, understandably not available for parking.  May be a problem w/neighbors.",,0,34.0507897,-118.5571055,0,,LOS ANGELES,Los Angeles
59,85,"Topanga SP -- Rivas Cyn Rd, outside of NRA",Will Rogers SHP,Rivas Canyon Road,MB - in office,6/3/2001,mb06/03/01,CDPR,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Not distinct entrance.  Use pt. 191.,Outside,0,34.05156095,-118.5163607,0,,LOS ANGELES,Los Angeles
60,1,Nicholas Flat Trail Trailhead,Leo Carrillo State Park,PCH ^ Leo Carrillo SP,MB/EE,6/8/2000,mb12/31/03 6/8/00,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Primary,Primary,,Yes,No,Yes,100,0,99,0,parking lot,paved,Yes,flush,Yes,Yes,No,Yes,Yes,Yes,XX,XX,No,Yes,Yes,No,No,"prkg $6, free park on PCH; flush toilets/water w/i camp; telephones",in,2,34.04614031,-118.9335595,0,N,LOS ANGELES,Unincorp LA
